agency_cd,site_no,datetime,85489_00060_00003,85489_00060_00003_cd
USGS,2091814,4/2/2016,4350,A
USGS,2091814,4/3/2016,4600,A
USGS,2091814,4/4/2016,4780,A
USGS,2091814,4/5/2016,4650,A
USGS,2091814,4/6/2016,3980,A
USGS,2091814,4/7/2016,3480,A
USGS,2091814,4/8/2016,3130,A
USGS,2091814,4/9/2016,2850,A
USGS,2091814,4/10/2016,2570,A
USGS,2091814,4/11/2016,2400,A
USGS,2091814,4/12/2016,2250,A
USGS,2091814,4/13/2016,2280,A
USGS,2091814,4/14/2016,2500,A
USGS,2091814,4/15/2016,2800,A
USGS,2091814,4/16/2016,3270,A
USGS,2091814,4/17/2016,3420,A
USGS,2091814,4/18/2016,3230,A
USGS,2091814,4/19/2016,2860,A
USGS,2091814,4/20/2016,2450,A
USGS,2091814,4/21/2016,2150,A
USGS,2091814,4/22/2016,1910,A
USGS,2091814,4/23/2016,1940,A
USGS,2091814,4/24/2016,2130,A
USGS,2091814,4/25/2016,2340,A
USGS,2091814,4/26/2016,2800,A
USGS,2091814,4/27/2016,3070,A
USGS,2091814,4/28/2016,2920,A
USGS,2091814,4/29/2016,2590,A
USGS,2091814,4/30/2016,2280,A
USGS,2091814,5/1/2016,2300,A
USGS,2091814,5/2/2016,2740,A
USGS,2091814,5/3/2016,3410,A
USGS,2091814,5/4/2016,4560,A
USGS,2091814,5/5/2016,5390,A
USGS,2091814,5/6/2016,6490,A
USGS,2091814,5/7/2016,7530,A
USGS,2091814,5/8/2016,8130,A
USGS,2091814,5/9/2016,8430,A
USGS,2091814,5/10/2016,8700,A
USGS,2091814,5/11/2016,8950,A
USGS,2091814,5/12/2016,9000,A
USGS,2091814,5/13/2016,8940,A
USGS,2091814,5/14/2016,8510,A
USGS,2091814,5/15/2016,7840,A
USGS,2091814,5/16/2016,6820,A
USGS,2091814,5/17/2016,5380,A
USGS,2091814,5/18/2016,4390,A
USGS,2091814,5/19/2016,3830,A
USGS,2091814,5/20/2016,3700,A
USGS,2091814,5/21/2016,3670,A
USGS,2091814,5/22/2016,3600,A
USGS,2091814,5/23/2016,3390,A
USGS,2091814,5/24/2016,3080,A
USGS,2091814,5/25/2016,2730,A
USGS,2091814,5/26/2016,2380,A
USGS,2091814,5/27/2016,2090,A
USGS,2091814,5/28/2016,1820,A
USGS,2091814,5/29/2016,1660,A
USGS,2091814,5/30/2016,1620,A
USGS,2091814,5/31/2016,1530,A
USGS,2091814,6/1/2016,1630,A
USGS,2091814,6/2/2016,2160,A
USGS,2091814,6/3/2016,2590,A
USGS,2091814,6/4/2016,2830,A
USGS,2091814,6/5/2016,2950,A
USGS,2091814,6/6/2016,2780,A
USGS,2091814,6/7/2016,3170,A
USGS,2091814,6/8/2016,4000,A
USGS,2091814,6/9/2016,4090,A
USGS,2091814,6/10/2016,3970,A
USGS,2091814,6/11/2016,3870,A
USGS,2091814,6/12/2016,3770,A
USGS,2091814,6/13/2016,3590,A
USGS,2091814,6/14/2016,3190,A
USGS,2091814,6/15/2016,2270,A
USGS,2091814,6/16/2016,1610,A
USGS,2091814,6/17/2016,1300,A
USGS,2091814,6/18/2016,1110,A
USGS,2091814,6/19/2016,1030,A
USGS,2091814,6/20/2016,964,A
USGS,2091814,6/21/2016,911,A
USGS,2091814,6/22/2016,787,A
USGS,2091814,6/23/2016,712,A
USGS,2091814,6/24/2016,630,A
USGS,2091814,6/25/2016,615,A
USGS,2091814,6/26/2016,612,A
USGS,2091814,6/27/2016,767,A
USGS,2091814,6/28/2016,1140,A
USGS,2091814,6/29/2016,1160,A
USGS,2091814,6/30/2016,1050,A
USGS,2091814,7/1/2016,1050,A
USGS,2091814,7/2/2016,1770,A
USGS,2091814,7/3/2016,2600,A
USGS,2091814,7/4/2016,2980,A
USGS,2091814,7/5/2016,3330,A
USGS,2091814,7/6/2016,3590,A
USGS,2091814,7/7/2016,3800,A
USGS,2091814,7/8/2016,4050,A
USGS,2091814,7/9/2016,4410,A:e
USGS,2091814,7/10/2016,4880,A:e
USGS,2091814,7/11/2016,5330,A:e
USGS,2091814,7/12/2016,5580,A:e
USGS,2091814,7/13/2016,5410,A:e
USGS,2091814,7/14/2016,4820,A:e
USGS,2091814,7/15/2016,4680,A:e
USGS,2091814,7/16/2016,4480,A:e
USGS,2091814,7/17/2016,4250,A:e
USGS,2091814,7/18/2016,4440,A:e
USGS,2091814,7/19/2016,4550,A
USGS,2091814,7/20/2016,5160,A
USGS,2091814,7/21/2016,5250,A
USGS,2091814,7/22/2016,5400,A
USGS,2091814,7/23/2016,5550,A
USGS,2091814,7/24/2016,5850,A
USGS,2091814,7/25/2016,6100,A
USGS,2091814,7/26/2016,6270,A
USGS,2091814,7/27/2016,5810,A
USGS,2091814,7/28/2016,4210,A
USGS,2091814,7/29/2016,2760,A
USGS,2091814,7/30/2016,1700,A
USGS,2091814,7/31/2016,1170,A
